 orderid	orderdate
10898	2008-02-20 00:00:00.000
10897	2008-02-19 00:00:00.000
10896	2008-02-19 00:00:00.000
10895	2008-02-18 00:00:00.000
10894	2008-02-18 00:00:00.000
10893	2008-02-18 00:00:00.000
10892	2008-02-17 00:00:00.000
10891	2008-02-17 00:00:00.000
10890	2008-02-16 00:00:00.000
10889	2008-02-16 00:00:00.000
10888	2008-02-16 00:00:00.000
10887	2008-02-13 00:00:00.000
10886	2008-02-13 00:00:00.000
10885	2008-02-12 00:00:00.000
10884	2008-02-12 00:00:00.000
10883	2008-02-12 00:00:00.000
10882	2008-02-11 00:00:00.000
10881	2008-02-11 00:00:00.000
10880	2008-02-10 00:00:00.000
10879	2008-02-10 00:00:00.000
10878	2008-02-10 00:00:00.000
10877	2008-02-09 00:00:00.000
10876	2008-02-09 00:00:00.000
10875	2008-02-06 00:00:00.000
10874	2008-02-06 00:00:00.000
10873	2008-02-06 00:00:00.000
10872	2008-02-05 00:00:00.000
10871	2008-02-05 00:00:00.000
10870	2008-02-04 00:00:00.000
10869	2008-02-04 00:00:00.000
10868	2008-02-04 00:00:00.000
10867	2008-02-03 00:00:00.000
10866	2008-02-03 00:00:00.000
10865	2008-02-02 00:00:00.000
10864	2008-02-02 00:00:00.000
10863	2008-02-02 00:00:00.000
10862	2008-01-30 00:00:00.000
10861	2008-01-30 00:00:00.000
10860	2008-01-29 00:00:00.000
10859	2008-01-29 00:00:00.000
10858	2008-01-29 00:00:00.000
10857	2008-01-28 00:00:00.000
10856	2008-01-28 00:00:00.000
10855	2008-01-27 00:00:00.000
10854	2008-01-27 00:00:00.000
10853	2008-01-27 00:00:00.000
10852	2008-01-26 00:00:00.000
10851	2008-01-26 00:00:00.000
10850	2008-01-23 00:00:00.000
10849	2008-01-23 00:00:00.000
10848	2008-01-23 00:00:00.000
10847	2008-01-22 00:00:00.000
10846	2008-01-22 00:00:00.000
10845	2008-01-21 00:00:00.000
10844	2008-01-21 00:00:00.000
10843	2008-01-21 00:00:00.000
10842	2008-01-20 00:00:00.000
10841	2008-01-20 00:00:00.000
10840	2008-01-19 00:00:00.000
10839	2008-01-19 00:00:00.000
10838	2008-01-19 00:00:00.000
10837	2008-01-16 00:00:00.000
10836	2008-01-16 00:00:00.000
10835	2008-01-15 00:00:00.000
10834	2008-01-15 00:00:00.000
10833	2008-01-15 00:00:00.000
10832	2008-01-14 00:00:00.000
10831	2008-01-14 00:00:00.000
10830	2008-01-13 00:00:00.000
10829	2008-01-13 00:00:00.000
10828	2008-01-13 00:00:00.000
10827	2008-01-12 00:00:00.000
10826	2008-01-12 00:00:00.000
10825	2008-01-09 00:00:00.000
10824	2008-01-09 00:00:00.000
10823	2008-01-09 00:00:00.000
10822	2008-01-08 00:00:00.000
10821	2008-01-08 00:00:00.000
10820	2008-01-07 00:00:00.000
10819	2008-01-07 00:00:00.000
10818	2008-01-07 00:00:00.000
10817	2008-01-06 00:00:00.000
10816	2008-01-06 00:00:00.000
10815	2008-01-05 00:00:00.000
10814	2008-01-05 00:00:00.000
10813	2008-01-05 00:00:00.000
10812	2008-01-02 00:00:00.000
10811	2008-01-02 00:00:00.000
10810	2008-01-01 00:00:00.000
10809	2008-01-01 00:00:00.000
10808	2008-01-01 00:00:00.000
10807	2007-12-31 00:00:00.000
10806	2007-12-31 00:00:00.000
10805	2007-12-30 00:00:00.000
10804	2007-12-30 00:00:00.000
10803	2007-12-30 00:00:00.000
10802	2007-12-29 00:00:00.000
10801	2007-12-29 00:00:00.000
10800	2007-12-26 00:00:00.000
10799	2007-12-26 00:00:00.000
10798	2007-12-26 00:00:00.000
10797	2007-12-25 00:00:00.000
10796	2007-12-25 00:00:00.000
10795	2007-12-24 00:00:00.000
10794	2007-12-24 00:00:00.000
10793	2007-12-24 00:00:00.000
10792	2007-12-23 00:00:00.000
10791	2007-12-23 00:00:00.000
10790	2007-12-22 00:00:00.000
10789	2007-12-22 00:00:00.000
10788	2007-12-22 00:00:00.000
10787	2007-12-19 00:00:00.000
10786	2007-12-19 00:00:00.000
10785	2007-12-18 00:00:00.000
10784	2007-12-18 00:00:00.000
10783	2007-12-18 00:00:00.000
10782	2007-12-17 00:00:00.000
10781	2007-12-17 00:00:00.000
10780	2007-12-16 00:00:00.000
10779	2007-12-16 00:00:00.000
10778	2007-12-16 00:00:00.000
10777	2007-12-15 00:00:00.000
10776	2007-12-15 00:00:00.000
10775	2007-12-12 00:00:00.000
10774	2007-12-11 00:00:00.000
10773	2007-12-11 00:00:00.000
10772	2007-12-10 00:00:00.000
10771	2007-12-10 00:00:00.000
10770	2007-12-09 00:00:00.000
10769	2007-12-08 00:00:00.000
10768	2007-12-08 00:00:00.000
10767	2007-12-05 00:00:00.000
10766	2007-12-05 00:00:00.000
10765	2007-12-04 00:00:00.000
10764	2007-12-03 00:00:00.000
10763	2007-12-03 00:00:00.000
10762	2007-12-02 00:00:00.000
10761	2007-12-02 00:00:00.000
10760	2007-12-01 00:00:00.000
10759	2007-11-28 00:00:00.000
10758	2007-11-28 00:00:00.000
10757	2007-11-27 00:00:00.000
10756	2007-11-27 00:00:00.000
10755	2007-11-26 00:00:00.000
10754	2007-11-25 00:00:00.000
10753	2007-11-25 00:00:00.000
10752	2007-11-24 00:00:00.000
10751	2007-11-24 00:00:00.000
10750	2007-11-21 00:00:00.000
10749	2007-11-20 00:00:00.000
10748	2007-11-20 00:00:00.000
10747	2007-11-19 00:00:00.000
10746	2007-11-19 00:00:00.000
10745	2007-11-18 00:00:00.000
10744	2007-11-17 00:00:00.000
10743	2007-11-17 00:00:00.000
10742	2007-11-14 00:00:00.000
10741	2007-11-14 00:00:00.000
10740	2007-11-13 00:00:00.000
10739	2007-11-12 00:00:00.000
10738	2007-11-12 00:00:00.000
10737	2007-11-11 00:00:00.000
10736	2007-11-11 00:00:00.000
10735	2007-11-10 00:00:00.000
10734	2007-11-07 00:00:00.000
10733	2007-11-07 00:00:00.000
10732	2007-11-06 00:00:00.000
10731	2007-11-06 00:00:00.000
10730	2007-11-05 00:00:00.000
10729	2007-11-04 00:00:00.000
10728	2007-11-04 00:00:00.000
10727	2007-11-03 00:00:00.000
10726	2007-11-03 00:00:00.000
10725	2007-10-31 00:00:00.000
10724	2007-10-30 00:00:00.000
10723	2007-10-30 00:00:00.000
10722	2007-10-29 00:00:00.000
10721	2007-10-29 00:00:00.000
10720	2007-10-28 00:00:00.000
10719	2007-10-27 00:00:00.000
10718	2007-10-27 00:00:00.000
10717	2007-10-24 00:00:00.000
10716	2007-10-24 00:00:00.000
10715	2007-10-23 00:00:00.000
10714	2007-10-22 00:00:00.000
10713	2007-10-22 00:00:00.000
10712	2007-10-21 00:00:00.000
10711	2007-10-21 00:00:00.000
10710	2007-10-20 00:00:00.000
10709	2007-10-17 00:00:00.000
10708	2007-10-17 00:00:00.000
10707	2007-10-16 00:00:00.000
10706	2007-10-16 00:00:00.000
10705	2007-10-15 00:00:00.000
10704	2007-10-14 00:00:00.000
10703	2007-10-14 00:00:00.000
10702	2007-10-13 00:00:00.000
10701	2007-10-13 00:00:00.000
10700	2007-10-10 00:00:00.000
10699	2007-10-09 00:00:00.000
10698	2007-10-09 00:00:00.000
10697	2007-10-08 00:00:00.000
10696	2007-10-08 00:00:00.000
10695	2007-10-07 00:00:00.000
10694	2007-10-06 00:00:00.000
10693	2007-10-06 00:00:00.000
10692	2007-10-03 00:00:00.000
10691	2007-10-03 00:00:00.000
10690	2007-10-02 00:00:00.000
10689	2007-10-01 00:00:00.000
10688	2007-10-01 00:00:00.000
10687	2007-09-30 00:00:00.000
10686	2007-09-30 00:00:00.000
10685	2007-09-29 00:00:00.000
10684	2007-09-26 00:00:00.000
10683	2007-09-26 00:00:00.000
10682	2007-09-25 00:00:00.000
10681	2007-09-25 00:00:00.000
10680	2007-09-24 00:00:00.000
10679	2007-09-23 00:00:00.000
10678	2007-09-23 00:00:00.000
10677	2007-09-22 00:00:00.000
10676	2007-09-22 00:00:00.000
10675	2007-09-19 00:00:00.000
10674	2007-09-18 00:00:00.000
10673	2007-09-18 00:00:00.000
10672	2007-09-17 00:00:00.000
10671	2007-09-17 00:00:00.000
10670	2007-09-16 00:00:00.000
10669	2007-09-15 00:00:00.000
10668	2007-09-15 00:00:00.000
10667	2007-09-12 00:00:00.000
10666	2007-09-12 00:00:00.000
10665	2007-09-11 00:00:00.000
10664	2007-09-10 00:00:00.000
10663	2007-09-10 00:00:00.000
10662	2007-09-09 00:00:00.000
10661	2007-09-09 00:00:00.000
10660	2007-09-08 00:00:00.000
10659	2007-09-05 00:00:00.000
10658	2007-09-05 00:00:00.000
10657	2007-09-04 00:00:00.000
10656	2007-09-04 00:00:00.000
10655	2007-09-03 00:00:00.000
10654	2007-09-02 00:00:00.000
10653	2007-09-02 00:00:00.000
10652	2007-09-01 00:00:00.000
10651	2007-09-01 00:00:00.000
10650	2007-08-29 00:00:00.000
10649	2007-08-28 00:00:00.000
10648	2007-08-28 00:00:00.000
10647	2007-08-27 00:00:00.000
10646	2007-08-27 00:00:00.000
10645	2007-08-26 00:00:00.000
10644	2007-08-25 00:00:00.000
10643	2007-08-25 00:00:00.000
10642	2007-08-22 00:00:00.000
10641	2007-08-22 00:00:00.000
10640	2007-08-21 00:00:00.000
10639	2007-08-20 00:00:00.000
10638	2007-08-20 00:00:00.000
10637	2007-08-19 00:00:00.000
10636	2007-08-19 00:00:00.000
10635	2007-08-18 00:00:00.000
10634	2007-08-15 00:00:00.000
10633	2007-08-15 00:00:00.000
10632	2007-08-14 00:00:00.000
10631	2007-08-14 00:00:00.000
10630	2007-08-13 00:00:00.000
10629	2007-08-12 00:00:00.000
10628	2007-08-12 00:00:00.000
10627	2007-08-11 00:00:00.000
10626	2007-08-11 00:00:00.000
10625	2007-08-08 00:00:00.000
10624	2007-08-07 00:00:00.000
10623	2007-08-07 00:00:00.000
10622	2007-08-06 00:00:00.000
10621	2007-08-05 00:00:00.000
10620	2007-08-05 00:00:00.000
10619	2007-08-04 00:00:00.000
10618	2007-08-01 00:00:00.000
10617	2007-07-31 00:00:00.000
10616	2007-07-31 00:00:00.000
10615	2007-07-30 00:00:00.000
10614	2007-07-29 00:00:00.000
10613	2007-07-29 00:00:00.000
10612	2007-07-28 00:00:00.000
10611	2007-07-25 00:00:00.000
10610	2007-07-25 00:00:00.000
10609	2007-07-24 00:00:00.000
10608	2007-07-23 00:00:00.000
10607	2007-07-22 00:00:00.000
10606	2007-07-22 00:00:00.000
10605	2007-07-21 00:00:00.000
10604	2007-07-18 00:00:00.000
10603	2007-07-18 00:00:00.000
10602	2007-07-17 00:00:00.000
10601	2007-07-16 00:00:00.000
10600	2007-07-16 00:00:00.000
10599	2007-07-15 00:00:00.000
10598	2007-07-14 00:00:00.000
10597	2007-07-11 00:00:00.000
10596	2007-07-11 00:00:00.000
10595	2007-07-10 00:00:00.000
10594	2007-07-09 00:00:00.000
10593	2007-07-09 00:00:00.000
10592	2007-07-08 00:00:00.000
10591	2007-07-07 00:00:00.000
10590	2007-07-07 00:00:00.000
10589	2007-07-04 00:00:00.000
10588	2007-07-03 00:00:00.000
10587	2007-07-02 00:00:00.000
10586	2007-07-02 00:00:00.000
10585	2007-07-01 00:00:00.000
10584	2007-06-30 00:00:00.000
10583	2007-06-30 00:00:00.000
10582	2007-06-27 00:00:00.000
10581	2007-06-26 00:00:00.000
10580	2007-06-26 00:00:00.000
10579	2007-06-25 00:00:00.000
10578	2007-06-24 00:00:00.000
10577	2007-06-23 00:00:00.000
10576	2007-06-23 00:00:00.000
10575	2007-06-20 00:00:00.000
10574	2007-06-19 00:00:00.000
10573	2007-06-19 00:00:00.000
10572	2007-06-18 00:00:00.000
10571	2007-06-17 00:00:00.000
10570	2007-06-17 00:00:00.000
10569	2007-06-16 00:00:00.000
10568	2007-06-13 00:00:00.000
10567	2007-06-12 00:00:00.000
10566	2007-06-12 00:00:00.000
10565	2007-06-11 00:00:00.000
10564	2007-06-10 00:00:00.000
10563	2007-06-10 00:00:00.000
10562	2007-06-09 00:00:00.000
10561	2007-06-06 00:00:00.000
10560	2007-06-06 00:00:00.000
10559	2007-06-05 00:00:00.000
10558	2007-06-04 00:00:00.000
10557	2007-06-03 00:00:00.000
10556	2007-06-03 00:00:00.000
10555	2007-06-02 00:00:00.000
10554	2007-05-30 00:00:00.000
10553	2007-05-30 00:00:00.000
10552	2007-05-29 00:00:00.000
10551	2007-05-28 00:00:00.000
10550	2007-05-28 00:00:00.000
10549	2007-05-27 00:00:00.000
10548	2007-05-26 00:00:00.000
10547	2007-05-23 00:00:00.000
10546	2007-05-23 00:00:00.000
10545	2007-05-22 00:00:00.000
10544	2007-05-21 00:00:00.000
10543	2007-05-21 00:00:00.000
10542	2007-05-20 00:00:00.000
10541	2007-05-19 00:00:00.000
10540	2007-05-19 00:00:00.000
10539	2007-05-16 00:00:00.000
10538	2007-05-15 00:00:00.000
10537	2007-05-14 00:00:00.000
10536	2007-05-14 00:00:00.000
10535	2007-05-13 00:00:00.000
10534	2007-05-12 00:00:00.000
10533	2007-05-12 00:00:00.000
10532	2007-05-09 00:00:00.000
10531	2007-05-08 00:00:00.000
10530	2007-05-08 00:00:00.000
10529	2007-05-07 00:00:00.000
10528	2007-05-06 00:00:00.000
10527	2007-05-05 00:00:00.000
10526	2007-05-05 00:00:00.000
10525	2007-05-02 00:00:00.000
10524	2007-05-01 00:00:00.000
10523	2007-05-01 00:00:00.000
10522	2007-04-30 00:00:00.000
10521	2007-04-29 00:00:00.000
10520	2007-04-29 00:00:00.000
10519	2007-04-28 00:00:00.000
10518	2007-04-25 00:00:00.000
10517	2007-04-24 00:00:00.000
10516	2007-04-24 00:00:00.000
10515	2007-04-23 00:00:00.000
10514	2007-04-22 00:00:00.000
10513	2007-04-22 00:00:00.000
10512	2007-04-21 00:00:00.000
10511	2007-04-18 00:00:00.000
10510	2007-04-18 00:00:00.000
10509	2007-04-17 00:00:00.000
10508	2007-04-16 00:00:00.000
10507	2007-04-15 00:00:00.000
10506	2007-04-15 00:00:00.000
10505	2007-04-14 00:00:00.000
10504	2007-04-11 00:00:00.000
10503	2007-04-11 00:00:00.000
10502	2007-04-10 00:00:00.000
10501	2007-04-09 00:00:00.000
10500	2007-04-09 00:00:00.000
10499	2007-04-08 00:00:00.000
10498	2007-04-07 00:00:00.000
10497	2007-04-04 00:00:00.000
10496	2007-04-04 00:00:00.000
10495	2007-04-03 00:00:00.000
10494	2007-04-02 00:00:00.000
10493	2007-04-02 00:00:00.000
10492	2007-04-01 00:00:00.000
10491	2007-03-31 00:00:00.000
10490	2007-03-31 00:00:00.000
10489	2007-03-28 00:00:00.000
10488	2007-03-27 00:00:00.000
10487	2007-03-26 00:00:00.000
10486	2007-03-26 00:00:00.000
10485	2007-03-25 00:00:00.000
10484	2007-03-24 00:00:00.000
10483	2007-03-24 00:00:00.000
10482	2007-03-21 00:00:00.000
10481	2007-03-20 00:00:00.000
10480	2007-03-20 00:00:00.000
10479	2007-03-19 00:00:00.000
10478	2007-03-18 00:00:00.000
10477	2007-03-17 00:00:00.000
10476	2007-03-17 00:00:00.000
10475	2007-03-14 00:00:00.000
10474	2007-03-13 00:00:00.000
10473	2007-03-13 00:00:00.000
10472	2007-03-12 00:00:00.000
10471	2007-03-11 00:00:00.000
10470	2007-03-11 00:00:00.000
10469	2007-03-10 00:00:00.000
10468	2007-03-07 00:00:00.000
10467	2007-03-06 00:00:00.000
10466	2007-03-06 00:00:00.000
10465	2007-03-05 00:00:00.000
10464	2007-03-04 00:00:00.000
10463	2007-03-04 00:00:00.000
10462	2007-03-03 00:00:00.000
10461	2007-02-28 00:00:00.000
10460	2007-02-28 00:00:00.000
10459	2007-02-27 00:00:00.000
10458	2007-02-26 00:00:00.000
10457	2007-02-25 00:00:00.000
10456	2007-02-25 00:00:00.000
10455	2007-02-24 00:00:00.000
10454	2007-02-21 00:00:00.000
10453	2007-02-21 00:00:00.000
10452	2007-02-20 00:00:00.000
10451	2007-02-19 00:00:00.000
10450	2007-02-19 00:00:00.000
10449	2007-02-18 00:00:00.000
10448	2007-02-17 00:00:00.000
10447	2007-02-14 00:00:00.000
10446	2007-02-14 00:00:00.000
10445	2007-02-13 00:00:00.000
10444	2007-02-12 00:00:00.000
10443	2007-02-12 00:00:00.000
10442	2007-02-11 00:00:00.000
10441	2007-02-10 00:00:00.000
10440	2007-02-10 00:00:00.000
10439	2007-02-07 00:00:00.000
10438	2007-02-06 00:00:00.000
10437	2007-02-05 00:00:00.000
10436	2007-02-05 00:00:00.000
10435	2007-02-04 00:00:00.000
10434	2007-02-03 00:00:00.000
10433	2007-02-03 00:00:00.000
10432	2007-01-31 00:00:00.000
10431	2007-01-30 00:00:00.000
10430	2007-01-30 00:00:00.000
10429	2007-01-29 00:00:00.000
10428	2007-01-28 00:00:00.000
10427	2007-01-27 00:00:00.000
10426	2007-01-27 00:00:00.000
10425	2007-01-24 00:00:00.000
10424	2007-01-23 00:00:00.000
10423	2007-01-23 00:00:00.000
10422	2007-01-22 00:00:00.000
10421	2007-01-21 00:00:00.000
10420	2007-01-21 00:00:00.000
10419	2007-01-20 00:00:00.000
10418	2007-01-17 00:00:00.000
10417	2007-01-16 00:00:00.000
10416	2007-01-16 00:00:00.000
10415	2007-01-15 00:00:00.000
10414	2007-01-14 00:00:00.000
10413	2007-01-14 00:00:00.000
10412	2007-01-13 00:00:00.000
10411	2007-01-10 00:00:00.000
10410	2007-01-10 00:00:00.000
10409	2007-01-09 00:00:00.000
10408	2007-01-08 00:00:00.000
10407	2007-01-07 00:00:00.000
10406	2007-01-07 00:00:00.000
10405	2007-01-06 00:00:00.000
10404	2007-01-03 00:00:00.000
10403	2007-01-03 00:00:00.000
10402	2007-01-02 00:00:00.000
10401	2007-01-01 00:00:00.000
10400	2007-01-01 00:00:00.000
10399	2006-12-31 00:00:00.000
10398	2006-12-30 00:00:00.000
10397	2006-12-27 00:00:00.000
10396	2006-12-27 00:00:00.000
10395	2006-12-26 00:00:00.000
10394	2006-12-25 00:00:00.000
10393	2006-12-25 00:00:00.000
10392	2006-12-24 00:00:00.000
10391	2006-12-23 00:00:00.000
10390	2006-12-23 00:00:00.000
10389	2006-12-20 00:00:00.000
10388	2006-12-19 00:00:00.000
10387	2006-12-18 00:00:00.000
10386	2006-12-18 00:00:00.000
10385	2006-12-17 00:00:00.000
10384	2006-12-16 00:00:00.000
10383	2006-12-16 00:00:00.000
10382	2006-12-13 00:00:00.000
10381	2006-12-12 00:00:00.000
10380	2006-12-12 00:00:00.000
10379	2006-12-11 00:00:00.000
10378	2006-12-10 00:00:00.000
10377	2006-12-09 00:00:00.000
10376	2006-12-09 00:00:00.000
10375	2006-12-06 00:00:00.000
10374	2006-12-05 00:00:00.000
10373	2006-12-05 00:00:00.000
10372	2006-12-04 00:00:00.000
10371	2006-12-03 00:00:00.000
10370	2006-12-03 00:00:00.000
10369	2006-12-02 00:00:00.000
10368	2006-11-29 00:00:00.000
10367	2006-11-28 00:00:00.000
10366	2006-11-28 00:00:00.000
10365	2006-11-27 00:00:00.000
10364	2006-11-26 00:00:00.000
10363	2006-11-26 00:00:00.000
10362	2006-11-25 00:00:00.000
10361	2006-11-22 00:00:00.000
10360	2006-11-22 00:00:00.000
10359	2006-11-21 00:00:00.000
10358	2006-11-20 00:00:00.000
10357	2006-11-19 00:00:00.000
10356	2006-11-18 00:00:00.000
10355	2006-11-15 00:00:00.000
10354	2006-11-14 00:00:00.000
10353	2006-11-13 00:00:00.000
10352	2006-11-12 00:00:00.000
10351	2006-11-11 00:00:00.000
10350	2006-11-11 00:00:00.000
10349	2006-11-08 00:00:00.000
10348	2006-11-07 00:00:00.000
10347	2006-11-06 00:00:00.000
10346	2006-11-05 00:00:00.000
10345	2006-11-04 00:00:00.000
10344	2006-11-01 00:00:00.000
10343	2006-10-31 00:00:00.000
10342	2006-10-30 00:00:00.000
10341	2006-10-29 00:00:00.000
10340	2006-10-29 00:00:00.000
10339	2006-10-28 00:00:00.000
10338	2006-10-25 00:00:00.000
10337	2006-10-24 00:00:00.000
10336	2006-10-23 00:00:00.000
10335	2006-10-22 00:00:00.000
10334	2006-10-21 00:00:00.000
10333	2006-10-18 00:00:00.000
10332	2006-10-17 00:00:00.000
10331	2006-10-16 00:00:00.000
10330	2006-10-16 00:00:00.000
10329	2006-10-15 00:00:00.000
10328	2006-10-14 00:00:00.000
10327	2006-10-11 00:00:00.000
10326	2006-10-10 00:00:00.000
10325	2006-10-09 00:00:00.000
10324	2006-10-08 00:00:00.000
10323	2006-10-07 00:00:00.000
10322	2006-10-04 00:00:00.000
10321	2006-10-03 00:00:00.000
10320	2006-10-03 00:00:00.000
10319	2006-10-02 00:00:00.000
10318	2006-10-01 00:00:00.000
10317	2006-09-30 00:00:00.000
10316	2006-09-27 00:00:00.000
10315	2006-09-26 00:00:00.000
10314	2006-09-25 00:00:00.000
10313	2006-09-24 00:00:00.000
10312	2006-09-23 00:00:00.000
10311	2006-09-20 00:00:00.000
10310	2006-09-20 00:00:00.000
10309	2006-09-19 00:00:00.000
10308	2006-09-18 00:00:00.000
10307	2006-09-17 00:00:00.000
10306	2006-09-16 00:00:00.000
10305	2006-09-13 00:00:00.000
